summonerId,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
zQhnde3aK0EAZBhBgJQE-oVmX-mboMsZz_q62ZHebD-6vmEf,LfmxGvUxGGlurGqjqMNkiDbc6jhbXPgv9FiozmBoLpUQiC-wdsJZmfjV1zFWags6d7JH6UHH_suLvA,1131,I,111,79,False,False,False,False
geTRVWZrdmIz4gvGkNV0UYqlgFiSoDj3tXMuqkRXclDe4GJ8,IrzxZUuZ96sPjLH8kFdskJKch5EqbSHOB_b4h9kQRZAcrwq8Ss08tZ7ElgIwEKpEbgaXJgON3T15OQ,1128,I,149,110,False,False,True,False
stjKqMUeZd49zNM1LA7v-5sgU2JoljbWKe_68SvNFAWXiq0,ySy5gVZh6bjrPN619VtI_jQcMw0b4MG5_vaLKJovLZ1MxjmZuWH6rNvMYM6b4plQoqf2wisYeH3OUg,1124,I,176,158,True,False,False,False
div4cTPqERvgjgWYF-S0sWlEEY2Wjugg0BZNEW60FzXX0Poz,yArbCSseB95N3EvJp86AMZqkU9F3vSApc1cBZDRVzQ_sDFX6NGDSl80_NIk-6c4mLgSKfW0XCvwNtw,1124,I,137,114,True,False,False,False
y2YNaOZFJJMT0W_npr7S35tKvdsUX-kw54x8-FVtTTp-1hk,LWIdDvogXyB_lViNCO0ywyUU00csKKfOgpQofmwtOzV8Q-XwJ1Wh40yJ4ixS3DAxPLxcJPU9EgObvw,1123,I,208,168,False,False,False,False
qtcD54gqVz00t2fm6RTbI49cQuY2j_vVb6QB9eC4qbCoSns,kqx7ie-H_-WwLY0tb8Q6kwKSoWgv_56yijZVXldS8bvMxaryHzzRLeVxca0Zp3a1pz5Ikin96SR7Pg,1123,I,203,175,True,False,False,False
A1dmA1uFpPeR3SadycfZzXTypDYX0J4F2HMkIFA_zLE1Fv4,msCBt5InLbmdWcTbo6TRxGQyBpa1N6Gxerqi5lux-J4P3crqsnK1Gz7Ibf3HQwRnnaf9-xn8eJr57A,1120,I,180,156,True,False,False,True
1cwqPFh4QsLhiWtNrLyqLtETRbJHffH8szaVt6AquzQfKNE,bAXK5KGVI_gWu2GoOFq3j-qga-AIS2ktiOgJ1nECz3ujBAWg0mKMm8OlURD2Jt7CA4eMusZxAXAo-A,1118,I,151,117,False,False,False,False
JJ0pjF4vmHpzS4zEkSMI57pJVlFpj-Mg5mI2BvsXldbIySs,hYbmlD0t-1A1ewysL4ICNxbDv06nr2HXdOAPeDwcsKaKwqqUE34Kl93l8W3cpfL4Wk3-0Ci2Ik4srA,1112,I,109,83,False,False,False,False
Fy6-sRD61ouO0zacRsNb60n5-bCNs-7agYtKXujvAsOT-TSbhc-yc-tkuw,aodYG_EOPV-7ha75miEmkKxGkop5CMYZFstKkm5OGDxZJmdLVvDxru3PLb9V7gGEo0jZfHQsD3GzkQ,1110,I,164,130,False,False,False,True
hifYyo8Jeb3j06OR0PJHUlhBMB0f7ISQ7duYu7IqOIJM-eo,F1Ep9FCmWb0jdOAs6oZXBwGQPe21_uyWrg6r9dPIjThl_1JSqNq8htBJ3oTk1LhKjMOyJ1cQ0-cRMA,1109,I,204,169,True,False,False,False
yQD1QDj0MPt641cYnXK6jaADYVWxKNdpSFF6BJIFHW5f2ac,zu8T06p0J-h1uPKKWcQohCTUedcu5n6aIOZf5GR41OYYneQuf8TR8aoZcOpDQSxvbNKwO0VrkWpg_A,1106,I,313,288,True,False,False,False
R8DzUfWyUyCtPlb_1ggQZfNPRnoEe81rZS3Hfso7MgtPgCY,9rXCBQPEHaHF1a0ksraMBLJQAOWIpDcoZqNCr_wrTzNh4pLgcS63M4rNIZa1S_ZCQyxU1Bx8TVN1Cw,1106,I,197,180,True,False,False,False
hd_Rm5QMK_JXhW3mtqvWL4X8rp2LTvnXci-q43__eFxuTHc,MurWexAG3y8crhRBC7dpL-kZ5hhQPhDjpcevWMdx7cvXyDVspvHA-SloPAeSQAf9ETPrUhEVmBQnew,1100,I,188,151,False,False,False,False
Qms43MBMjVwIaXIFv1muFAnLQzSh1fFY3zDHyP1ACMjemPGr,DpgTKWl5qkNAvtPsydla1cWzcYYoW-1zT280AdSfPx353shY7LskblQ2Ww_QQPTRJw1zXW-VFA6dOg,1097,I,143,117,False,False,False,False
c3CxEO9bHKzNSm21wg2cni03UlktTAyFnbNQppDpvM2K5wM,TKLRXQSPS_JBk44NWJ_SIjZHeSQPkhFrdltw1iiWTgXcDQuSkElSv1jES_wYNYI6gH8q-2YR7uyAZQ,1097,I,125,105,False,False,False,True
qQMsKPTHMS-6NBnazTkBxdh3_861toANIKmEZDx5FyIaywHuDx4vSexlFQ,qG4CNBVXvHsStZg-BtKmBQFtPL1Vrt6Jy3k4mglzMt6Cr3iT0Z6_sVnGbuvD5P213Pun7uQ4i5dJbQ,1096,I,183,137,True,False,False,False
BZCjYSrE8ESsBNVThPR7OZZ8iYmP93YGVeIif-r86Cac7aqNccMfHeVD3Q,PB_b62dwos_1qxKjDk0xkjH9G-fw9xcQFyrt-EqXM7DM9etY24WWNqZ3jpMDrWR13O-mp2duEagqYA,1088,I,116,84,False,False,False,True
XZQa6MZIjtmoAJx_XpfAxPjrJTYYuQz2MULLVs_HzUdQ72o,R9frDR87Bjd1TSBc_YTi9Ddi1bBUItuC_WPTqAfRlR85QgSbrRMNX_lDEiMFEi5Kkti51QQWmEHLDQ,1086,I,159,133,True,False,False,True
oGBMJzFVSAupZCgDBBBNRDPlKzgc3cyM_sjTXoh83aJo1x3LYS6eWGZ58g,Swlr8ALj04cvJSVQlQMUVHGN3zx8ZikJqJVePQDhCKQKpt2hHp6QStiSNvSfP7Hli9H3xuqOkQKcHA,1085,I,160,132,True,False,False,False
